classification,side,count,sum,mean
Extreme Fear,BUY,1168,-3794.6272449999997,-3.2488246960616434
Extreme Fear,SELL,1158,8194.563796,7.076479962003455
Extreme Greed,BUY,1661,15027.15765,9.047054575556892
Extreme Greed,SELL,3960,1141866.517926,288.350130789394
Fear,BUY,7307,1537586.186314,210.42646589763243
Fear,SELL,6562,241639.39634,36.82404698872295
Greed,BUY,5407,84680.778397,15.661323912890698
Greed,SELL,5885,524951.754239,89.20165747476636
Neutral,BUY,1020,12733.959718,12.484274233333334
Neutral,SELL,1736,61922.782262,35.66980545046083
